Mod:Item:MetaData, Localized Name
TwilightForest:tile.TFHedge:0, 树篱
TwilightForest:tile.TFFireflyJar, 萤火虫罐子
TwilightForest:tile.TFPlant:3, 暮色森林苔藓
TwilightForest:tile.TFPlant:4, 鬼臼果
TwilightForest:tile.TFPlant:8, 暮色森林蕨类
TwilightForest:tile.TFPlant:9, 暮色森林蘑菇
TwilightForest:tile.TFPlant:10, 林地草
TwilightForest:tile.TFPlant:11, 枯死的灌木
TwilightForest:tile.TFPlant:13, 火炬浆果植物
TwilightForest:tile.TFPlant:14, 根须
TwilightForest:tile.TFUncraftingTable, 多功能工作台
TwilightForest:tile.TFFireJet:0, 烟雾方块
TwilightForest:tile.TFFireJet:8, 火焰喷射
TwilightForest:tile.TFFireJet:1, 被包裹的烟雾
TwilightForest:tile.TFFireJet:11, 火焰喷射方块
TwilightForest:tile.TFNagastone:1, 娜迦石方块 头部
TwilightForest:tile.TFNagastone:13, 娜迦石方块
TwilightForest:tile.TFSapling:0, 暮色橡树树苗
TwilightForest:tile.TFSapling:1, 苍穹树苗
TwilightForest:tile.TFSapling:2, 红树树苗
TwilightForest:tile.TFSapling:3, 黑树树苗
TwilightForest:tile.TFSapling:4, 高大暮色橡树树苗
TwilightForest:tile.TFSapling:5, 时光树苗
TwilightForest:tile.TFSapling:6, 变化树苗
TwilightForest:tile.TFSapling:7, 矿石树苗
TwilightForest:tile.TFSapling:8, 分类树苗
TwilightForest:tile.TFSapling:9, 彩虹树苗
TwilightForest:tile.TFMoonworm, 月光蠕虫
TwilightForest:tile.TFMagicLog:0, 时光树木
TwilightForest:tile.TFMagicLog:1, 变化树木
TwilightForest:tile.TFMagicLog:2, 矿石树木
TwilightForest:tile.TFMagicLog:3, 分类树木
TwilightForest:tile.TFMagicLeaves:0, 时光树树叶
TwilightForest:tile.TFMagicLeaves:1, 变化树树叶
TwilightForest:tile.TFMagicLeaves:2, 矿石树树叶
TwilightForest:tile.TFMagicLeaves:3, 分类树树叶
TwilightForest:tile.TFMagicLogSpecial:0, 时光树的时钟
TwilightForest:tile.TFMagicLogSpecial:1, 变化树的心脏
TwilightForest:tile.TFMagicLogSpecial:2, 矿石树核心
TwilightForest:tile.TFMagicLogSpecial:3, 分类树的引擎
TwilightForest:tile.TFTowerStone:0, 塔树木板
TwilightForest:tile.TFTowerStone:1, 塔树板箱
TwilightForest:tile.TFTowerStone:2, 破裂的塔木
TwilightForest:tile.TFTowerStone:3, 青苔的塔木
TwilightForest:tile.TFTowerStone:4, 虫蛀的塔木
TwilightForest:tile.TFTowerDevice:0, 重现的方块
TwilightForest:tile.TFTowerDevice:2, 消失的方块
TwilightForest:tile.TFTowerDevice:4, 锁定的消失的方块
TwilightForest:tile.TFTowerDevice:5, 解锁的消失的方块
TwilightForest:tile.TFTowerDevice:6, 高塔建設者
TwilightForest:tile.TFTowerDevice:9, 反建器
TwilightForest:tile.TFTowerDevice:10, 可怕的陷阱
TwilightForest:tile.TFTowerDevice:12, Carminite Reactor
TwilightForest:tile.TFTrophy:0, tile.TFTrophy.0.name
TwilightForest:tile.TFShield:0, 堡垒防护屏障
TwilightForest:tile.TFTrophyPedestal:0, 战利品宝座
TwilightForest:tile.TFTrophyPedestal:15, 隐藏的战利品宝座
TwilightForest:tile.TFAuroraBrick, Aurora Block
TwilightForest:tile.TFUnderBrick:0, 地下砖
TwilightForest:tile.TFUnderBrick:1, 碎裂的地下砖
TwilightForest:tile.TFUnderBrick:2, 青苔地下砖
TwilightForest:tile.TFThorns:0, Thorns
TwilightForest:tile.TFThorns:1, Green Thorns
TwilightForest:tile.TFBurntThorns, Burnt Thorns
TwilightForest:tile.TFThornRose, Thorn Rose
TwilightForest:tile.TFLeaves3:0, Thorn Leaves
TwilightForest:tile.TFLeaves3:1, Beanstalk Leaves
TwilightForest:tile.TFDeadrock:0, Weathered Deadrock
TwilightForest:tile.TFDeadrock:1, Cracked Deadrock
TwilightForest:tile.TFDeadrock:2, Deadrock
TwilightForest:tile.DarkLeaves, Darkwood Leaves
TwilightForest:tile.AuroraPillar, Aurora Pillar
TwilightForest:tile.AuroraSlab:0, Aurora Slab
TwilightForest:tile.AuroraDoubleSlab:0, Aurora Slab
TwilightForest:tile.TrollSteinn, Trollsteinn
TwilightForest:tile.WispyCloud, Wispy Cloud
TwilightForest:tile.FluffyCloud, Fluffy Cloud
minecraft:iron_shovel, 铁锹
minecraft:iron_pickaxe, 铁镐
minecraft:iron_axe, 铁斧
minecraft:flint_and_steel, 打火石
minecraft:apple, 苹果
minecraft:bow, 弓
minecraft:arrow, 箭
minecraft:coal:0, 煤炭
minecraft:coal:1, 木炭
minecraft:diamond, 钻石
minecraft:iron_ingot, 铁锭
minecraft:gold_ingot, 金锭
minecraft:iron_sword, 铁剑
minecraft:wooden_sword, 木剑
minecraft:wooden_shovel, 木锹
minecraft:wooden_pickaxe, 木镐
minecraft:wooden_axe, 木斧
minecraft:stone_sword, 石剑
minecraft:stone_shovel, 石锹
minecraft:stone_pickaxe, 石镐
minecraft:stone_axe, 石斧
minecraft:diamond_sword, 钻石剑
minecraft:diamond_shovel, 钻石锹
minecraft:diamond_pickaxe, 钻石镐
minecraft:diamond_axe, 钻石斧
minecraft:stick, 木棍
minecraft:bowl, 碗
minecraft:mushroom_stew, 蘑菇煲
minecraft:golden_sword, 金剑
minecraft:golden_shovel, 金锹
minecraft:golden_pickaxe, 金镐
minecraft:golden_axe, 金斧
minecraft:string, 线
minecraft:feather, 羽毛
minecraft:gunpowder, 火药
minecraft:wooden_hoe, 木锄
minecraft:stone_hoe, 石锄
minecraft:iron_hoe, 铁锄
minecraft:diamond_hoe, 钻石锄
minecraft:golden_hoe, 金锄
minecraft:wheat_seeds, 小麦种子
minecraft:wheat, 小麦
minecraft:bread, 面包
minecraft:leather_helmet, 皮革帽子
minecraft:leather_chestplate, 皮革外套
minecraft:leather_leggings, 皮革裤子
minecraft:leather_boots, 皮革靴子
minecraft:chainmail_helmet, 锁链头盔
minecraft:chainmail_chestplate, 锁链胸甲
minecraft:chainmail_leggings, 锁链护腿
minecraft:chainmail_boots, 锁链靴子
minecraft:iron_helmet, 铁头盔
minecraft:iron_chestplate, 铁胸甲
minecraft:iron_leggings, 铁护腿
minecraft:iron_boots, 铁靴子
minecraft:diamond_helmet, 钻石头盔
minecraft:diamond_chestplate, 钻石胸甲
minecraft:diamond_leggings, 钻石护腿
minecraft:diamond_boots, 钻石靴子
minecraft:golden_helmet, 金头盔
minecraft:golden_chestplate, 金胸甲
minecraft:golden_leggings, 金护腿
minecraft:golden_boots, 金靴子
minecraft:flint, 燧石
minecraft:porkchop, 生猪排
minecraft:cooked_porkchop, 熟猪排
minecraft:painting, 画
minecraft:golden_apple:0, 金苹果
